iter	Logloss
0	0.6461602007
1	0.6115187829
2	0.5935089557
3	0.5776132032
4	0.5627130051
5	0.5448170811
6	0.5378023122
7	0.5272943633
8	0.5225972035
9	0.5193351211
10	0.5163662665
11	0.5135233465
12	0.5110219103
13	0.5083463632
14	0.5067613915
15	0.5055754001
16	0.5046938173
17	0.5032303076
18	0.5010995102
19	0.5004564025
20	0.4992625966
21	0.4988395234
22	0.4983610714
23	0.4975200413
24	0.4969923846
25	0.4964658392
26	0.4953479732
27	0.4951318054
28	0.494752744
29	0.4943099866
30	0.4940897586
31	0.4938102288
32	0.4930083839
33	0.4926293936
34	0.4925185673
35	0.4921987107
36	0.4920497891
37	0.4918242514
38	0.49169973
39	0.491247007
40	0.4910935226
41	0.491000644
42	0.4908668969
43	0.4906726622
44	0.4904650784
45	0.4903535006
46	0.4903029567
47	0.4901064713
48	0.4900497724
49	0.4899599413
50	0.4899104363
51	0.4898567849
52	0.4897416007
53	0.4896570446
54	0.4896145019
55	0.4895287885
56	0.4894673035
57	0.4894057888
58	0.4893594769
59	0.489305064
60	0.489255761
61	0.4892132803
62	0.4891744385
63	0.4891440793
64	0.4890676286
65	0.4889886178
66	0.4889479739
67	0.4888905747
68	0.488881419
69	0.4888199381
70	0.488785633
71	0.4887586465
72	0.4886234402
73	0.4885530858
74	0.4885112225
75	0.4884566193
76	0.4884298634
77	0.4882828947
78	0.487991222
79	0.487950443
80	0.4878916643
81	0.487846959
82	0.4877846605
83	0.4877656673
84	0.4877336538
85	0.4877147659
86	0.4876676736
87	0.4876157431
88	0.4875934471
89	0.4875815568
90	0.4875698211
91	0.4875647737
92	0.4875258083
93	0.487503959
94	0.4874715203
95	0.4874640473
96	0.4874575674
97	0.4874214547
98	0.4874038289
99	0.4873668552
100	0.4873668534
101	0.4873393335
102	0.4873199535
103	0.4873089078
104	0.4872667522
105	0.4872635711
106	0.4872247436
107	0.4872142165
108	0.4871969219
109	0.4871760184
110	0.4871401091
111	0.4871280318
112	0.487101227
113	0.4870935003
114	0.4870802635
115	0.487062973
116	0.4870351882
117	0.4870113021
118	0.4869959356
119	0.4869756224
120	0.4869683978
121	0.486956243
122	0.4869305093
123	0.4868832582
124	0.4868401056
125	0.4868401054
126	0.4868113615
127	0.4867785119
128	0.486753305
129	0.4867177396
130	0.4866847562
131	0.486674715
132	0.4866679473
133	0.4866151921
134	0.4865368536
135	0.4865262161
136	0.4864825389
137	0.4864559892
138	0.4864282006
139	0.4863987296
140	0.4863659023
141	0.4863436682
142	0.4863028243
143	0.4862685553
144	0.4862353436
145	0.4862060202
146	0.4862036496
147	0.486193112
148	0.4861442409
149	0.4861368156
150	0.4861115028
151	0.4860945853
